Filename                                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
home/jon/llvm-project/clang/include/clang/APINotes/APINotesManager.h                                                11                11     0.00%           2                 2     0.00%          11                11     0.00%           6                 6     0.00%
home/jon/llvm-project/clang/include/clang/APINotes/APINotesReader.h                                                  9                 9     0.00%           6                 6     0.00%          14                14     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/APINotes/Types.h                                                         198               198     0.00%          84                84     0.00%         374               374     0.00%          68                68     0.00%
home/jon/llvm-project/clang/include/clang/ARCMigrate/ARCMT.h                                                         5                 5     0.00%           5                 5     0.00%           5                 5     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/APNumericStorage.h                                                    12                12     0.00%           7                 7     0.00%          19                19     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/AST/APValue.h                                                            189               189     0.00%         117               117     0.00%         354               354     0.00%          10                10     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTConcept.h                                                          53                53     0.00%          31                31     0.00%          85                85     0.00%          10                10     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTConsumer.h                                                         17                17     0.00%          17                17     0.00%          19                19     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/ASTContext.h                                                         295               295     0.00%         159               159     0.00%         505               505     0.00%          94                94     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTDumper.h                                                            9                 9     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/ASTDumperUtils.h                                                       8                 8     0.00%           2                 2     0.00%           8                 8     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTImportError.h                                                       7                 7     0.00%           4                 4     0.00%           7                 7     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/ASTImporter.h                                                         32                32     0.00%          18                18     0.00%          52                52     0.00%          12                12     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTImporterSharedState.h                                              20                20     0.00%           9                 9     0.00%          27                27     0.00%          10                10     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTLambda.h                                                           66                66     0.00%          11                11     0.00%          61                61     0.00%          52                52     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTMutationListener.h                                                 25                25     0.00%          25                25     0.00%          25                25     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/ASTNodeTraverser.h                                                   420               420     0.00%         143               143     0.00%         799               799     0.00%         280               280     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTStructuralEquivalence.h                                             9                 9     0.00%           1                 1     0.00%           4                 4     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/ASTTypeTraits.h                                                      100               100     0.00%          36                36     0.00%         180               180     0.00%          44                44     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTUnresolvedSet.h                                                    35                35     0.00%          23                23     0.00%          50                50     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/AST/ASTVector.h                                                           96                96     0.00%          40                40     0.00%         194               194     0.00%          34                34     0.00%
home/jon/llvm-project/clang/include/clang/AST/AbstractBasicReader.h                                                 59                59     0.00%          15                15     0.00%         131               131     0.00%          38                38     0.00%
home/jon/llvm-project/clang/include/clang/AST/AbstractBasicWriter.h                                                 58                58     0.00%          16                16     0.00%         120               120     0.00%          42                42     0.00%
home/jon/llvm-project/clang/include/clang/AST/Attr.h                                                                91                91     0.00%          47                47     0.00%         150               150     0.00%          28                28     0.00%
home/jon/llvm-project/clang/include/clang/AST/AttrIterator.h                                                        26                26     0.00%          12                12     0.00%          50                50     0.00%          10                10     0.00%
home/jon/llvm-project/clang/include/clang/AST/AttrVisitor.h                                                       2842              2842     0.00%           3                 3     0.00%          11                11     0.00%         806               806     0.00%
home/jon/llvm-project/clang/include/clang/AST/Availability.h                                                        30                30     0.00%          15                15     0.00%          29                29     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/AST/BaseSubobject.h                                                       13                13     0.00%           9                 9     0.00%          25                25     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/AST/CXXInheritance.h                                                      43                43     0.00%          28                28     0.00%          50                50     0.00%          12                12     0.00%
home/jon/llvm-project/clang/include/clang/AST/CanonicalType.h                                                       57                57     0.00%          43                43     0.00%         119               119     0.00%           6                 6     0.00%
home/jon/llvm-project/clang/include/clang/AST/CharUnits.h                                                           47                47     0.00%          45                45     0.00%         131               131     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/Comment.h                                                            200               200     0.00%         131               131     0.00%         434               434     0.00%          20                20     0.00%
home/jon/llvm-project/clang/include/clang/AST/CommentBriefParser.h                                                   1                 1     0.00%           1                 1     0.00%           5                 5     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/CommentCommandTraits.h                                                 6                 6     0.00%           2                 2     0.00%           8                 8     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/AST/CommentLexer.h                                                        62                62     0.00%          34                34     0.00%         123               123     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/AST/CommentParser.h                                                       15                15     0.00%           5                 5     0.00%          24                24     0.00%          10                10     0.00%
home/jon/llvm-project/clang/include/clang/AST/CommentSema.h                                                          5                 5     0.00%           2                 2     0.00%           8                 8     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/AST/CommentVisitor.h                                                     111               111     0.00%           4                 4     0.00%          17                17     0.00%          28                28     0.00%
home/jon/llvm-project/clang/include/clang/AST/ComparisonCategories.h                                                31                31     0.00%          14                14     0.00%          51                51     0.00%           6                 6     0.00%
home/jon/llvm-project/clang/include/clang/AST/CurrentSourceLocExprScope.h                                           14                14     0.00%           5                 5     0.00%          12                12     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/AST/DataCollection.h                                                       3                 3     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/Decl.h                                                               990               990     0.00%         598               598     0.00%        1513              1513     0.00%         290               290     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclAccessPair.h                                                       8                 8     0.00%           8                 8     0.00%          22                22     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/DeclBase.h                                                           420               420     0.00%         208               208     0.00%         639               639     0.00%         166               166     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclCXX.h                                                            903               903     0.00%         503               503     0.00%        1377              1377     0.00%         358               358     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclContextInternals.h                                               109               109     0.00%          25                25     0.00%         204               204     0.00%          52                52     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclFriend.h                                                          66                66     0.00%          25                25     0.00%         103               103     0.00%          20                20     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclGroup.h                                                           59                59     0.00%          23                23     0.00%          73                73     0.00%          20                20     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclID.h                                                              36                36     0.00%          28                28     0.00%          55                55     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/DeclLookups.h                                                         27                27     0.00%          11                11     0.00%          41                41     0.00%          12                12     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclObjC.h                                                           611               611     0.00%         388               388     0.00%         980               980     0.00%         140               140     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclOpenMP.h                                                         105               105     0.00%          93                93     0.00%         191               191     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclTemplate.h                                                       566               566     0.00%         321               321     0.00%        1024              1024     0.00%         154               154     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclVisitor.h                                                        779               779     0.00%           3                 3     0.00%          11                11     0.00%         174               174     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclarationName.h                                                    173               173     0.00%          91                91     0.00%         313               313     0.00%          36                36     0.00%
home/jon/llvm-project/clang/include/clang/AST/DependenceFlags.h                                                     41                41     0.00%          31                31     0.00%         121               121     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/AST/DependentDiagnostic.h                                                 33                33     0.00%          20                20     0.00%          80                80     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/AST/EvaluatedExprVisitor.h                                                49                49     0.00%          21                21     0.00%          58                58     0.00%          22                22     0.00%
home/jon/llvm-project/clang/include/clang/AST/Expr.h                                                              2116              2116     0.00%        1062              1062     0.00%        2704              2704     0.00%         546               546     0.00%
home/jon/llvm-project/clang/include/clang/AST/ExprCXX.h                                                           1258              1258     0.00%         749               749     0.00%        1971              1971     0.00%         238               238     0.00%
home/jon/llvm-project/clang/include/clang/AST/ExprConcepts.h                                                       122               122     0.00%          79                79     0.00%         242               242     0.00%          14                14     0.00%
home/jon/llvm-project/clang/include/clang/AST/ExprObjC.h                                                           465               465     0.00%         279               279     0.00%         671               671     0.00%          58                58     0.00%
home/jon/llvm-project/clang/include/clang/AST/ExprOpenMP.h                                                          39                39     0.00%          35                35     0.00%          75                75     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/ExternalASTSource.h                                                   87                87     0.00%          40                40     0.00%         122               122     0.00%          26                26     0.00%
